Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Unemployment_rate,Inflation_rate,GDP,total_units_credited,total_units_enrolled,total_units_evaluations,total_units_approved,total_units_grade,total_units_without_evaluations,Status
Single,1,5,Other,1,Secondary Education,126.0,Europe,Higher Education,Higher Education,Professional,Professional,121.1,0,0,1,1,Female,No,18,No,12.7,3.7,-1.7,0,11,11,4,6.375,0,Dropout
Single,1,2,Business and Management,1,Secondary Education,133.0,Europe,Higher Education,Secondary Education,Professional,Manual Labor,120.4,1,0,0,1,Female,No,22,No,8.9,1.4,3.51,0,10,10,10,15.3,0,Graduate
Single,1,6,Health and Social Sciences,1,Secondary Education,103.0,Europe,Secondary Education,Higher Education,Professional,Professional,100.6,1,1,0,1,Female,No,22,No,11.1,0.6,2.02,0,15,18,12,14.135428571428571,0,Graduate
Single,17,1,Other,1,Secondary Education,120.0,Europe,Secondary Education,Basic Education,Service Workers,Service,121.4,0,0,0,0,Female,No,20,No,12.4,0.5,1.79,0,12,14,9,13.4,0,Dropout
Single,39,1,Business and Management,0,Secondary Education,133.1,Europe,Basic Education,Basic Education,Manual Labor,Manual Labor,109.7,0,0,0,1,Female,No,29,No,16.2,0.3,-0.92,0,10,0,0,0.0,0,Dropout
Single,17,1,Business and Management,0,Secondary Education,154.0,Europe,Basic Education,Basic Education,Technical and Administrative,Service,134.1,0,0,0,1,Female,No,24,No,7.6,2.6,0.32,0,10,20,5,12.916666666666668,1,Enrolled
Single,17,2,Health and Social Sciences,1,Secondary Education,130.0,Europe,Secondary Education,Secondary Education,Manual Labor,Manual Labor,127.6,1,0,0,1,Female,No,18,No,11.1,0.6,2.02,0,12,14,11,12.433333333333334,0,Graduate
Single,17,6,Health and Social Sciences,1,Secondary Education,132.0,Europe,Basic Education,Secondary Education,Manual Labor,Manual Labor,132.4,1,0,0,1,Female,Yes,22,No,11.1,0.6,2.02,0,15,17,13,13.644047619047619,0,Graduate
Single,44,1,Health and Social Sciences,0,Other,130.0,Europe,Secondary Education,Secondary Education,Manual Labor,Manual Labor,133.4,0,0,0,1,Female,Yes,21,No,12.4,0.5,1.79,5,12,13,12,12.392857142857142,0,Graduate
Single,1,1,Health and Social Sciences,1,Secondary Education,139.0,Europe,Basic Education,Basic Education,Manual Labor,Manual Labor,126.1,0,0,0,1,Female,Yes,19,No,12.7,3.7,-1.7,0,12,14,11,12.583333333333334,0,Graduate
Single,39,1,Health and Social Sciences,1,Secondary Education,130.0,Europe,Secondary Education,Basic Education,Manual Labor,Manual Labor,113.5,0,0,0,1,Female,Yes,24,No,12.4,0.5,1.79,0,12,12,12,13.916666666666666,0,Graduate
Single,1,1,Health and Social Sciences,1,Secondary Education,139.0,Europe,Basic Education,Basic Education,Manual Labor,Manual Labor,121.3,1,0,0,1,Female,Yes,19,No,9.4,-0.8,-3.12,0,16,20,12,11.833333333333334,0,Enrolled
Single,1,1,Other,1,Secondary Education,127.0,Europe,Secondary Education,Secondary Education,Manual Labor,Manual Labor,121.8,1,0,0,1,Female,Yes,20,No,9.4,-0.8,-3.12,0,12,23,7,12.5,0,Enrolled
Single,1,3,Other,1,Secondary Education,167.0,Europe,Basic Education,Basic Education,Student,Other,159.3,0,0,0,1,Female,No,19,No,7.6,2.6,0.32,0,10,12,10,15.257142857142856,0,Graduate
Single,39,1,Business and Management,0,Secondary Education,130.0,Europe,Basic Education,Basic Education,Manual Labor,Manual Labor,120.0,0,0,0,1,Female,No,27,No,9.4,-0.8,-3.12,0,10,22,10,10.8,0,Dropout
Single,1,1,Health and Social Sciences,1,Secondary Education,130.0,Europe,Secondary Education,Secondary Education,Service Workers,Service,129.1,1,0,0,1,Female,No,18,No,15.5,2.8,-4.06,0,15,19,15,13.319722222222222,0,Graduate
Married,7,1,Health and Social Sciences,1,Higher Education,130.0,Europe,Secondary Education,Higher Education,Technical and Administrative,Professional,130.0,0,0,0,1,Female,No,39,No,12.4,0.5,1.79,0,12,16,0,0.0,0,Dropout
Single,39,1,Other,1,Higher Education,129.0,Europe,Higher Education,Higher Education,Professional,Professional,155.3,1,0,0,1,Female,No,27,No,12.4,0.5,1.79,5,17,22,15,12.95,0,Dropout
Single,17,1,Health and Social Sciences,1,Secondary Education,141.0,Europe,Basic Education,Basic Education,Manual Labor,Service,139.8,1,0,0,1,Female,No,18,No,9.4,-0.8,-3.12,0,16,16,16,14.935,0,Graduate
Single,1,3,Engineering and Technology,1,Secondary Education,125.0,Europe,Basic Education,Basic Education,Technical and Administrative,Manual Labor,115.2,1,0,0,1,Female,No,18,No,7.6,2.6,0.32,0,0,0,0,0.0,0,Enrolled
Single,1,2,Health and Social Sciences,1,Secondary Education,125.0,Europe,Secondary Education,Secondary Education,Manual Labor,Manual Labor,114.9,0,0,0,1,Female,No,18,No,16.2,0.3,-0.92,0,15,20,13,12.677380952380952,0,Graduate
Single,44,1,Health and Social Sciences,1,Other,130.0,Europe,Secondary Education,Secondary Education,Manual Labor,Manual Labor,131.9,0,0,0,1,Female,Yes,21,No,13.9,-0.3,0.79,5,12,14,12,12.0,0,Graduate
Single,17,3,Engineering and Technology,1,Secondary Education,133.0,Europe,Secondary Education,Basic Education,Technical and Administrative,Manual Labor,126.0,1,0,0,1,Male,Yes,19,No,10.8,1.4,1.74,0,0,0,0,0.0,0,Enrolled
Single,17,1,Engineering and Technology,1,Secondary Education,127.0,Europe,Secondary Education,Secondary Education,Technical and Administrative,Service,130.2,1,0,0,1,Male,No,19,No,10.8,1.4,1.74,0,12,14,6,10.7,0,Enrolled
Single,43,1,Engineering and Technology,1,Secondary Education,116.0,Europe,Secondary Education,Secondary Education,Technical and Administrative,Professional,120.9,0,0,0,1,Male,No,24,No,12.7,3.7,-1.7,0,12,12,0,0.0,0,Enrolled
Divorced,42,1,Health and Social Sciences,1,Basic Education,133.1,Europe,Secondary Education,Secondary Education,Service Workers,Service,126.0,1,0,0,1,Male,No,29,No,13.9,-0.3,0.79,3,15,20,10,11.45,0,Dropout
Single,1,3,Engineering and Technology,1,Secondary Education,139.0,Europe,Secondary Education,Secondary Education,Service Workers,Professional,128.2,1,0,0,1,Male,Yes,19,No,10.8,1.4,1.74,0,0,0,0,0.0,0,Graduate
Single,44,1,Other,1,Other,130.0,Europe,Secondary Education,Basic Education,Manual Labor,Manual Labor,130.0,1,0,0,1,Male,No,23,No,8.9,1.4,3.51,0,12,15,12,12.5,0,Graduate
Single,1,3,Business and Management,1,Secondary Education,125.0,Europe,Secondary Education,Basic Education,Manual Labor,Manual Labor,120.1,0,0,1,1,Male,No,19,No,16.2,0.3,-0.92,0,10,18,9,10.975,3,Dropout
Single,39,1,Health and Social Sciences,1,Secondary Education,160.0,Europe,Secondary Education,Basic Education,Manual Labor,Service,100.0,0,0,0,1,Male,No,26,No,12.7,3.7,-1.7,0,12,15,11,11.4,0,Enrolled
Single,17,1,Business and Management,1,Secondary Education,148.0,Europe,Basic Education,Basic Education,Service Workers,Service,134.0,0,0,0,1,Male,No,18,No,7.6,2.6,0.32,0,10,14,0,0.0,0,Enrolled
Single,17,1,Health and Social Sciences,1,Secondary Education,150.0,Europe,Basic Education,Secondary Education,Manual Labor,Service,130.8,0,0,0,1,Male,No,24,No,13.9,-0.3,0.79,0,15,16,15,12.8625,0,Graduate
Single,1,1,Engineering and Technology,1,Secondary Education,141.0,Europe,Secondary Education,Secondary Education,Service Workers,Service,135.8,1,0,0,1,Male,No,19,No,15.5,2.8,-4.06,0,0,0,0,0.0,0,Dropout
Single,17,4,Health and Social Sciences,1,Secondary Education,118.0,Europe,Basic Education,Basic Education,Service Workers,Manual Labor,111.7,1,0,0,1,Male,No,18,No,12.4,0.5,1.79,0,12,24,4,11.833333333333332,0,Dropout
Single,1,2,Other,1,Secondary Education,142.0,Europe,Basic Education,Basic Education,Manual Labor,Manual Labor,132.9,1,0,0,1,Male,No,18,No,10.8,1.4,1.74,0,12,19,9,12.333333333333334,0,Graduate
Single,17,3,Business and Management,1,Secondary Education,120.0,Europe,Secondary Education,Secondary Education,Technical and Administrative,Manual Labor,115.5,1,0,1,1,Male,No,18,No,10.8,1.4,1.74,0,10,19,6,10.595238095238095,0,Dropout
Single,18,4,Health and Social Sciences,1,Secondary Education,106.0,Europe,Secondary Education,Basic Education,Manual Labor,Manual Labor,106.0,1,0,0,1,Male,Yes,21,No,9.4,-0.8,-3.12,0,12,19,5,10.75,0,Dropout
Single,17,4,Other,1,Secondary Education,121.0,Europe,Secondary Education,Secondary Education,Manual Labor,Manual Labor,120.3,1,0,1,1,Male,Yes,19,No,8.9,1.4,3.51,0,12,12,12,13.5,0,Graduate
Single,17,4,Health and Social Sciences,1,Secondary Education,150.0,Europe,Basic Education,Basic Education,Manual Labor,Manual Labor,130.8,0,0,0,1,Male,Yes,22,No,16.2,0.3,-0.92,0,15,16,15,14.94920634920635,0,Graduate
Married,39,1,Health and Social Sciences,0,Secondary Education,120.0,Europe,Basic Education,Basic Education,Manual Labor,Manual Labor,117.0,0,0,0,1,Male,No,33,No,10.8,1.4,1.74,0,12,14,12,11.833333333333332,0,Graduate
Single,1,6,Other,1,Secondary Education,114.0,Europe,Secondary Education,Secondary Education,Manual Labor,Manual Labor,110.2,1,0,0,1,Male,No,20,No,10.8,1.4,1.74,0,12,15,10,12.2,0,Dropout
Single,39,1,Business and Management,0,Higher Education,140.0,Europe,Higher Education,Higher Education,Professional,Professional,155.7,1,0,0,1,Male,No,35,No,10.8,1.4,1.74,0,6,1,0,0.0,1,Dropout
Single,39,1,Other,1,Higher Education,160.0,Europe,Higher Education,Higher Education,Technical and Administrative,Professional,180.4,0,0,1,1,Male,No,24,No,12.4,0.5,1.79,13,24,31,16,12.733333333333334,0,Dropout
Single,17,1,Health and Social Sciences,1,Secondary Education,120.0,Europe,Secondary Education,Secondary Education,Technical and Administrative,Service,125.5,0,0,0,1,Male,No,18,No,12.7,3.7,-1.7,0,10,14,8,11.666666666666668,0,Enrolled
Married,39,1,Health and Social Sciences,0,Secondary Education,130.0,Europe,Basic Education,Basic Education,Manual Labor,Manual Labor,110.0,1,0,0,1,Female,No,33,No,9.4,-0.8,-3.12,0,12,18,11,11.0,0,Graduate
Single,42,1,Health and Social Sciences,1,Secondary Education,160.0,Europe,Basic Education,Basic Education,Manual Labor,Manual Labor,161.0,1,0,0,1,Female,Yes,22,No,10.8,1.4,1.74,0,16,16,14,13.08,0,Graduate
Single,39,1,Other,1,Secondary Education,120.0,Europe,Secondary Education,Secondary Education,Technical and Administrative,Service,100.0,0,0,0,1,Female,Yes,25,No,9.4,-0.8,-3.12,0,10,14,9,11.05,0,Graduate
Single,17,1,Engineering and Technology,1,Secondary Education,124.0,Europe,Secondary Education,Basic Education,Technical and Administrative,Student,117.6,1,0,0,1,Male,No,20,No,7.6,2.6,0.32,0,12,15,11,10.933333333333334,1,Graduate
Single,1,6,Business and Management,1,Secondary Education,143.0,Europe,Basic Education,Basic Education,Manual Labor,Manual Labor,128.7,1,0,0,1,Male,No,23,No,11.1,0.6,2.02,0,10,11,9,13.9,0,Enrolled
Single,43,2,Engineering and Technology,1,Secondary Education,115.0,Europe,Basic Education,Secondary Education,Manual Labor,Manual Labor,112.2,1,0,1,1,Male,No,18,No,15.5,2.8,-4.06,0,10,18,2,5.0,0,Enrolled
Single,39,1,Health and Social Sciences,1,Secondary Education,133.1,Europe,Secondary Education,Secondary Education,Technical and Administrative,Service,100.8,0,0,0,1,Male,No,24,No,13.9,-0.3,0.79,0,14,25,0,0.0,0,Dropout
Single,17,2,Other,1,Secondary Education,133.1,South America,Secondary Education,Secondary Education,Manual Labor,Manual Labor,105.0,1,0,0,0,Female,No,21,Yes,8.9,1.4,3.51,0,12,12,12,13.75,0,Graduate
Single,15,1,Other,1,Secondary Education,133.1,South America,Secondary Education,Secondary Education,Technical and Administrative,Service,100.0,0,0,0,1,Female,No,26,Yes,8.9,1.4,3.51,0,12,13,2,6.0,1,Dropout
Married,39,1,Other,1,Incomplete Education,133.1,Europe,Basic Education,Other,Student,Student,115.5,0,0,0,1,Female,No,39,No,7.6,2.6,0.32,0,12,26,3,6.333333333333333,1,Dropout
Married,39,1,Health and Social Sciences,0,Secondary Education,133.1,Europe,Basic Education,Secondary Education,Manual Labor,Manual Labor,114.0,0,0,0,1,Female,No,44,No,12.7,3.7,-1.7,2,14,18,14,12.104166666666668,0,Graduate
Single,15,1,Engineering and Technology,1,Secondary Education,130.0,Africa,Basic Education,Higher Education,Manual Labor,Professional,137.0,1,0,0,1,Male,No,19,Yes,13.9,-0.3,0.79,0,10,20,8,13.625,0,Enrolled
Single,1,5,Other,1,Secondary Education,135.0,Europe,Basic Education,Secondary Education,Service Workers,Service,124.9,1,0,0,1,Female,No,18,No,8.9,1.4,3.51,0,12,12,12,13.5,0,Graduate
Single,1,5,Health and Social Sciences,1,Secondary Education,132.0,Europe,Basic Education,Basic Education,Manual Labor,Manual Labor,120.3,1,0,0,1,Female,Yes,18,No,12.4,0.5,1.79,0,15,16,15,14.11388888888889,0,Graduate
Single,1,1,Health and Social Sciences,1,Secondary Education,135.0,Europe,Secondary Education,Higher Education,Manual Labor,Professional,134.3,1,0,0,1,Female,No,19,No,12.7,3.7,-1.7,0,10,14,10,14.0,2,Enrolled
Single,1,4,Health and Social Sciences,1,Secondary Education,115.0,Europe,Higher Education,Higher Education,Professional,Professional,111.5,1,0,1,0,Female,No,19,No,13.9,-0.3,0.79,0,14,17,4,5.98,0,Dropout
Single,53,1,Health and Social Sciences,1,Higher Education,130.0,Europe,Basic Education,Basic Education,Manual Labor,Manual Labor,128.8,0,0,0,1,Female,No,21,No,8.9,1.4,3.51,11,19,26,13,13.1375,0,Dropout
Single,1,4,Engineering and Technology,1,Secondary Education,133.1,Europe,Secondary Education,Secondary Education,Manual Labor,Service,110.0,1,0,0,1,Female,No,20,No,16.2,0.3,-0.92,0,0,0,0,0.0,0,Graduate
Married,39,1,Health and Social Sciences,0,Secondary Education,130.0,Europe,Basic Education,Basic Education,Manual Labor,Service,113.5,1,0,0,1,Female,No,36,No,9.4,-0.8,-3.12,0,12,0,0,0.0,0,Dropout
Divorced,39,1,Other,1,Incomplete Education,133.1,Europe,Basic Education,Basic Education,Manual Labor,Manual Labor,160.0,0,0,0,1,Female,No,43,No,15.5,2.8,-4.06,23,31,33,31,14.431174089068826,1,Graduate
Single,18,1,Other,1,Secondary Education,123.0,Europe,Secondary Education,Secondary Education,Manual Labor,Manual Labor,117.4,1,0,0,1,Female,No,19,No,11.1,0.6,2.02,0,12,0,0,0.0,0,Dropout
Single,51,1,Engineering and Technology,1,Secondary Education,130.0,Europe,Higher Education,Secondary Education,Professional,Manual Labor,122.2,0,0,1,1,Female,No,20,No,11.1,0.6,2.02,9,21,23,21,12.636363636363637,0,Graduate
Single,1,2,Health and Social Sciences,1,Secondary Education,122.0,Europe,Basic Education,Basic Education,Technical and Administrative,Manual Labor,118.2,1,0,0,1,Female,No,19,No,16.2,0.3,-0.92,0,12,0,0,0.0,0,Dropout
Single,1,1,Health and Social Sciences,1,Secondary Education,113.0,Europe,Secondary Education,Secondary Education,Technical and Administrative,Service,106.7,1,0,0,1,Female,No,20,No,15.5,2.8,-4.06,0,12,32,8,13.725,0,Dropout
Single,1,5,Health and Social Sciences,1,Secondary Education,111.0,Europe,Higher Education,Higher Education,Technical and Administrative,Professional,108.2,1,0,0,1,Female,No,20,No,12.4,0.5,1.79,2,14,19,11,12.783333333333333,0,Dropout
Single,17,2,Other,1,Secondary Education,133.1,Europe,Secondary Education,Secondary Education,Manual Labor,Professional,107.0,1,0,0,1,Female,No,20,No,16.2,0.3,-0.92,0,14,22,9,12.333333333333332,0,Enrolled
Single,1,1,Health and Social Sciences,1,Secondary Education,142.0,Europe,Basic Education,Basic Education,Manual Labor,Manual Labor,136.1,1,0,0,1,Female,No,18,No,13.9,-0.3,0.79,0,12,14,12,14.428571428571429,0,Graduate
Single,17,2,Business and Management,1,Secondary Education,123.0,Europe,Secondary Education,Basic Education,Technical and Administrative,Manual Labor,115.3,1,0,0,1,Female,Yes,18,No,8.9,1.4,3.51,0,10,20,6,12.0,0,Enrolled
Single,1,1,Health and Social Sciences,1,Secondary Education,131.0,Europe,Secondary Education,Secondary Education,Manual Labor,Manual Labor,139.8,1,0,0,1,Female,No,19,No,10.8,1.4,1.74,0,10,11,10,13.100000000000001,0,Graduate
Single,1,3,Other,1,Secondary Education,158.0,Europe,Secondary Education,Basic Education,Technical and Administrative,Manual Labor,157.0,1,0,0,1,Female,No,18,No,10.8,1.4,1.74,0,12,13,12,12.619047619047619,0,Graduate
Single,17,2,Health and Social Sciences,1,Secondary Education,122.0,Europe,Basic Education,Basic Education,Manual Labor,Manual Labor,131.0,1,0,0,1,Female,No,18,No,7.6,2.6,0.32,0,14,14,12,12.516666666666666,2,Dropout
Single,43,1,Health and Social Sciences,1,Secondary Education,130.0,Europe,Basic Education,Basic Education,Manual Labor,Service,100.0,0,0,0,1,Female,No,20,No,13.9,-0.3,0.79,0,14,18,13,12.308333333333334,0,Enrolled
Single,17,1,Health and Social Sciences,1,Secondary Education,154.0,Europe,Secondary Education,Basic Education,Manual Labor,Manual Labor,140.4,1,0,0,1,Female,Yes,20,No,7.6,2.6,0.32,0,12,25,6,10.375,0,Enrolled
Single,17,1,Business and Management,1,Secondary Education,120.0,Europe,Secondary Education,Secondary Education,Technical and Administrative,Professional,113.4,0,0,0,1,Female,No,20,No,12.4,0.5,1.79,0,10,21,6,10.5,0,Enrolled
Single,1,2,Health and Social Sciences,1,Secondary Education,140.0,Europe,Basic Education,Basic Education,Manual Labor,Manual Labor,137.0,0,0,0,1,Female,No,18,No,9.4,-0.8,-3.12,0,10,18,10,12.271428571428572,2,Graduate
Single,1,1,Business and Management,1,Secondary Education,127.0,Europe,Higher Education,Secondary Education,Technical and Administrative,Service,121.8,0,0,0,1,Female,No,18,No,11.1,0.6,2.02,0,10,10,10,13.3,0,Graduate
